Sainsbury's Limes Each	0.7	2
Doritos Cool Original Tortilla Chips 180g	1	1
Sainsbury's British Medium Cheddar Cheese Slices 240g	1.75	1
Sainsbury's Large Onions x3	0.8	1
Sainsbury's Frozen Mango Chunks 500g	2	1
Sainsbury's Spring Onions Bunch 100g	0.5	1
Sainsbury's Celery 450g	0.55	1
Sainsbury's Sun Dried Tomato Paste 90g	1.5	1
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint)	1	1
Sainsbury's Chipotle Chilli Paste 90g	1.65	1
Sainsbury's Brioche Burger Buns, Taste the Difference x2	3	3
Yutaka Soba Noodles 250g	1.3	1
Yutaka Wasabi Paste 43g	2	1
Sainsbury's Soured Cream 300ml	0.95	1
Sainsbury's Spring Onions 165g	1	1
Kettle Chips Lightly Salted Crisps 150g	1.85	1
Sainsbury's Greek Style Natural Yogurt 500g	2	2
Sainsbury's Guacamole 170g	3	2
Sainsbury's Drawstring Refuse Sacks x20	2.7	1
Sainsbury's Tall Kitchen Bin Bags 30L x20	2	1
Sainsbury's King Prawns 150g	2.75	1
Doritos Hot Salsa Dip 300g	1	1
Andrex Toilet Tissue Classic Clean, White x16 Rolls	6.5	1
Sainsbury's British Chicken Breast Fillet Portions 460g	9.15	3
Sainsbury's British Diced Turkey Breast 500g	4.2	1
Sainsbury's Reduced Fat Mayonnaise 480ml	1	1
Sainsbury's Pesto, Red 190g	1	1
Old El Paso Sliced Green Jalapenos 215g	1.45	1
Arla Skyr Icelandic Style Yogurt 1kg	2.25	1
Eat Natural Crunchy Toasted Muesli, Nuts & Seeds 500g	3	1
